date,location,latitude,longitude,T2M,source,RH2M,PS,ALLSKY_SFC_SW_DWN,PRECTOTCORR,temp_mean_7d,temp_std_7d,temp_max_7d,temp_slope_7d,humidity_mean_7d,humidity_min_7d,humidity_slope_7d,pressure_std_7d,pressure_anomaly,dry_index,fire_risk_score
2021-05-17,australia_fire,-35.2,142.5,12.37,NASA_POWER,71.77,101.96,107.44,0.02,12.032857142857141,0.899179520186968,13.32,0.2792857142857145,65.54571428571428,57.1,-0.5985714285714296,0.3435597958636065,0.0614530263125996,8060.229600000001,0.4433361533260873
2021-05-18,australia_fire,-35.2,142.5,12.62,NASA_POWER,71.09,102.08,124.29,0.03,12.084285714285713,0.9144917922513547,13.32,0.3371428571428569,64.91857142857143,57.1,-1.2028571428571482,0.20386737051921858,0.0643751667896935,8261.6107,0.45440650194622983
2021-05-19,australia_fire,-35.2,142.5,12.08,NASA_POWER,63.8,101.9,140.32,0.0,12.290000000000001,0.7381508427594754,13.32,0.18535714285714308,63.25714285714285,50.04,-3.2610714285714275,0.14020393310338894,0.05999195607405299,10325.326,0.48320944683606326
2021-05-20,australia_fire,-35.2,142.5,13.32,NASA_POWER,57.1,101.99,89.52,0.0,12.754285714285714,0.717956756888437,14.12,0.17857142857142835,61.631428571428565,50.04,-3.1996428571428606,0.15574704766915787,0.06218356143187308,12289.562999999998,0.47886221439101406
2021-05-21,australia_fire,-35.2,142.5,12.47,NASA_POWER,60.62,102.11,146.98,0.0,13.318571428571428,1.496133110961102,16.32,0.5057142857142856,58.86714285714286,50.04,-2.738214285714282,0.2391453035102105,0.06510570190896699,11247.715600000001,0.4971948131122901
2021-05-22,australia_fire,-35.2,142.5,12.3,NASA_POWER,50.04,101.75,147.71,0.0,13.618571428571428,1.542535019282916,16.32,0.5560714285714287,57.67857142857143,50.04,-0.5739285714285726,0.4774535629382347,0.056339280477685605,14261.082,0.5274950538356362
2021-05-23,australia_fire,-35.2,142.5,14.12,NASA_POWER,57.0,101.7,138.6,0.0,13.472857142857142,1.7467561772774707,16.32,0.0621428571428573,58.348571428571425,50.04,1.4589285714285691,0.46582236549030603,0.05512172194556326,12352.609999999999,0.502371584207866
2021-05-24,australia_fire,-35.2,142.5,16.32,NASA_POWER,52.42,101.44,108.51,0.0,13.332857142857142,1.7995250696198528,16.32,-0.08107142857142803,60.52285714285714,50.04,2.7775000000000016,0.4930082584071491,0.04879041757852657,13772.982599999998,0.500529559340986
2021-05-25,australia_fire,-35.2,142.5,14.72,NASA_POWER,62.77,100.69,52.17,6.15,13.021428571428572,2.1317162770205007,16.32,-0.5303571428571423,62.589999999999996,50.04,4.352142857142858,0.5606204046373495,0.030527039596690324,10717.400099999999,0.4373655977991163
2021-05-26,australia_fire,-35.2,142.5,11.06,NASA_POWER,68.49,101.54,95.13,0.04,12.389999999999999,2.8979360471434132,16.32,-1.1842857142857144,65.25428571428571,52.42,3.2128571428571444,0.628501619500533,0.0512255346427716,8955.457100000001,0.4446338087179259
